tau,n_layers,n_units,lr,dropout,weight_decay,val_loss,train_epochs,time_sec
0.01,10,10,0.0001,0.0,0.01,0.00041395978769287467,53,2.792
0.01,10,10,0.0001,0.0,0.001,0.0004236902459524572,26,1.585
0.01,10,10,0.0001,0.0,0.0001,0.0004076881450600922,10,0.889
0.01,10,10,0.0001,0.2,0.01,0.0004131401074118912,56,3.301
0.01,10,10,0.0001,0.2,0.001,0.0004955692565999925,77,4.334
0.01,10,10,0.0001,0.2,0.0001,0.00044239178532734513,158,8.346
0.05,1,1,0.01,0.0,0.01,0.0009640951757319272,8,0.299
0.05,1,1,0.01,0.0,0.001,0.0009583939099684358,2,0.204
0.05,1,1,0.01,0.0,0.0001,0.0009355377405881882,8,0.298
0.05,1,1,0.01,0.2,0.01,0.0009462586021982133,9,0.324
0.05,1,1,0.01,0.2,0.001,0.0010113351745530963,15,0.434
0.05,1,1,0.01,0.2,0.0001,0.001001038122922182,10,0.34
0.05,1,1,0.001,0.0,0.01,0.0010756473056972027,10,0.325
0.05,1,1,0.001,0.0,0.001,0.0009965382050722837,28,0.632
0.05,1,1,0.001,0.0,0.0001,0.0009820266859605908,28,0.625
0.05,1,1,0.001,0.2,0.01,0.0010891205165535212,21,0.527
0.05,1,1,0.001,0.2,0.001,0.0010793444234877825,30,0.684
0.05,1,1,0.001,0.2,0.0001,0.001079294364899397,21,0.527
0.05,1,1,0.0001,0.0,0.01,0.0009560002363286912,8,0.313
0.05,1,1,0.0001,0.0,0.001,0.0009552198462188244,8,0.302
0.05,1,1,0.0001,0.0,0.0001,0.0009550101822242141,8,0.294
0.05,1,1,0.0001,0.2,0.01,0.0009551614057272673,17,0.46
0.05,1,1,0.0001,0.2,0.001,0.0009523893822915852,16,0.448
0.05,1,1,0.0001,0.2,0.0001,0.0009524123161099851,16,0.443
0.05,1,5,0.01,0.0,0.01,0.0009492772514931858,14,0.405
0.05,1,5,0.01,0.0,0.001,0.0009498873841948807,14,0.396
0.05,1,5,0.01,0.0,0.0001,0.0009487681090831757,3,0.214
0.05,1,5,0.01,0.2,0.01,0.0010127272689715028,11,0.368
0.05,1,5,0.01,0.2,0.001,0.001018776441924274,9,0.333
0.05,1,5,0.01,0.2,0.0001,0.0010454372968524694,5,0.261
0.05,1,5,0.001,0.0,0.01,0.0010711406357586384,3,0.215
0.05,1,5,0.001,0.0,0.001,0.0009597250609658659,3,0.216
0.05,1,5,0.001,0.0,0.0001,0.0009846191387623549,3,0.215
0.05,1,5,0.001,0.2,0.01,0.0010771051747724414,7,0.295
0.05,1,5,0.001,0.2,0.001,0.0010702194413170218,7,0.293
0.05,1,5,0.001,0.2,0.0001,0.0010344249894842505,21,0.537
0.05,1,5,0.0001,0.0,0.01,0.0011521426495164633,31,0.669
0.05,1,5,0.0001,0.0,0.001,0.00112353905569762,31,0.69
0.05,1,5,0.0001,0.0,0.0001,0.0011116511886939406,30,0.669
0.05,1,5,0.0001,0.2,0.01,0.0011445883428677917,61,1.228
0.05,1,5,0.0001,0.2,0.001,0.0011635731207206845,61,1.228
0.05,1,5,0.0001,0.2,0.0001,0.001154447323642671,61,1.209
0.05,1,10,0.01,0.0,0.01,0.0009447346092201769,9,0.317
0.05,1,10,0.01,0.0,0.001,0.0009482150198891759,1,0.181
0.05,1,10,0.01,0.0,0.0001,0.0009977408917620778,9,0.313
0.05,1,10,0.01,0.2,0.01,0.0009594539296813309,16,0.449
0.05,1,10,0.01,0.2,0.001,0.0010136656928807497,8,0.31
0.05,1,10,0.01,0.2,0.0001,0.0009489730000495911,16,0.454
0.05,1,10,0.001,0.0,0.01,0.0010711097856983542,11,0.346
0.05,1,10,0.001,0.0,0.001,0.0010452563874423504,4,0.232
0.05,1,10,0.001,0.0,0.0001,0.0009559069876559079,23,0.547
0.05,1,10,0.001,0.2,0.01,0.0010848746169358492,19,0.505
0.05,1,10,0.001,0.2,0.001,0.001089836354367435,27,0.653
0.05,1,10,0.001,0.2,0.0001,0.0010004944633692503,40,0.873
0.05,1,10,0.0001,0.0,0.01,0.001186769804917276,20,0.494
0.05,1,10,0.0001,0.0,0.001,0.0011410594452172518,16,0.432
0.05,1,10,0.0001,0.0,0.0001,0.0011615207185968757,16,0.434
0.05,1,10,0.0001,0.2,0.01,0.0011609770590439439,118,2.2
0.05,1,10,0.0001,0.2,0.001,0.0011317295720800757,183,3.36
0.05,1,10,0.0001,0.2,0.0001,0.0011154566891491413,183,3.34
0.05,5,1,0.01,0.0,0.01,0.0009526963694952428,6,0.468
0.05,5,1,0.01,0.0,0.001,0.0009665768011473119,6,0.453
0.05,5,1,0.01,0.0,0.0001,0.000955210707616061,6,0.48
0.05,5,1,0.01,0.2,0.01,0.0009878865676000714,2,0.37
0.05,5,1,0.01,0.2,0.001,0.0009447925258427858,12,0.677
0.05,5,1,0.01,0.2,0.0001,0.0009902631863951683,2,0.367
0.05,5,1,0.001,0.0,0.01,0.0010441491613164544,2,0.333
0.05,5,1,0.001,0.0,0.001,0.0010459207696840167,2,0.34
0.05,5,1,0.001,0.0,0.0001,0.0010460856137797236,2,0.334
0.05,5,1,0.001,0.2,0.01,0.001120124594308436,2,0.37
0.05,5,1,0.001,0.2,0.001,0.0011186994379386306,2,0.365
0.05,5,1,0.001,0.2,0.0001,0.0011189799988642335,2,0.363
0.05,5,1,0.0001,0.0,0.01,0.0009452665108256042,21,0.869
0.05,5,1,0.0001,0.0,0.001,0.0009452510275878012,21,0.862
0.05,5,1,0.0001,0.0,0.0001,0.0009452456142753363,21,0.867
0.05,5,1,0.0001,0.2,0.01,0.0009487920324318111,20,0.923
0.05,5,1,0.0001,0.2,0.001,0.0009489803342148662,20,0.916
0.05,5,1,0.0001,0.2,0.0001,0.0009489922085776925,20,0.918
0.05,5,5,0.01,0.0,0.01,0.0009860595455393195,6,0.455
0.05,5,5,0.01,0.0,0.001,0.0009475646074861288,6,0.453
0.05,5,5,0.01,0.0,0.0001,0.0009468791540712118,6,0.452
0.05,5,5,0.01,0.2,0.01,0.0009858409175649285,5,0.468
0.05,5,5,0.01,0.2,0.001,0.0009576149750500917,3,0.4
0.05,5,5,0.01,0.2,0.0001,0.0009467905620113015,17,0.842
0.05,5,5,0.001,0.0,0.01,0.0010890678968280554,1,0.313
0.05,5,5,0.001,0.0,0.001,0.0010965390829369426,1,0.309
0.05,5,5,0.001,0.0,0.0001,0.0010978671489283442,1,0.316
0.05,5,5,0.001,0.2,0.01,0.0011083531426265836,1,0.342
0.05,5,5,0.001,0.2,0.001,0.001124270143918693,1,0.346
0.05,5,5,0.001,0.2,0.0001,0.0011261197505518794,1,0.338
0.05,5,5,0.0001,0.0,0.01,0.0009454875835217535,8,0.515
0.05,5,5,0.0001,0.0,0.001,0.000946038227993995,8,0.513
0.05,5,5,0.0001,0.0,0.0001,0.00094614113913849,8,0.513
0.05,5,5,0.0001,0.2,0.01,0.0009485347545705736,9,0.595
0.05,5,5,0.0001,0.2,0.001,0.0009462576126679778,9,0.597
