tau,n_layers,n_units,lr,dropout,weight_decay,val_loss,train_epochs,time_sec
0.05,1,5,0.0001,0.2,0.0001,0.001408197800628841,10,0.336
0.05,1,10,0.01,0.0,0.01,0.0009455505642108619,12,0.355
0.05,1,10,0.01,0.0,0.001,0.0009421405848115683,12,0.352
0.05,1,10,0.01,0.0,0.0001,0.00095454475376755,5,0.253
0.05,1,10,0.01,0.2,0.01,0.0009547442896291614,10,0.343
0.05,1,10,0.01,0.2,0.001,0.0009565842337906361,10,0.345
0.05,1,10,0.01,0.2,0.0001,0.0009494099067524076,10,0.337
0.05,1,10,0.001,0.0,0.01,0.0009683433454483747,15,0.408
0.05,1,10,0.001,0.0,0.001,0.0009614882292225957,12,0.361
0.05,1,10,0.001,0.0,0.0001,0.0009579849429428577,12,0.354
0.05,1,10,0.001,0.2,0.01,0.0010314612882211804,14,0.4
0.05,1,10,0.001,0.2,0.001,0.0010187688749283552,20,0.508
0.05,1,10,0.001,0.2,0.0001,0.000967334141023457,22,0.557
0.05,1,10,0.0001,0.0,0.01,0.001133545534685254,11,0.343
0.05,1,10,0.0001,0.0,0.001,0.0011414824984967709,11,0.342
0.05,1,10,0.0001,0.0,0.0001,0.0011532831704244018,11,0.34
0.05,1,10,0.0001,0.2,0.01,0.0011189784854650497,91,1.702
0.05,1,10,0.0001,0.2,0.001,0.0011311169946566224,108,2.02
0.05,1,10,0.0001,0.2,0.0001,0.0011221327586099505,102,1.915
0.05,5,1,0.01,0.0,0.01,0.0009449757053516805,33,1.184
0.05,5,1,0.01,0.0,0.001,0.0009988760575652122,17,0.745
0.05,5,1,0.01,0.0,0.0001,0.0009455918334424496,29,1.071
0.05,5,1,0.01,0.2,0.01,0.0009562657796777785,21,0.941
0.05,5,1,0.01,0.2,0.001,0.0009460412547923625,21,0.954
0.05,5,1,0.01,0.2,0.0001,0.0009515501442365348,14,0.729
0.05,5,1,0.001,0.0,0.01,0.000994330272078514,3,0.359
0.05,5,1,0.001,0.0,0.001,0.0009949064115062356,3,0.351
0.05,5,1,0.001,0.0,0.0001,0.0009951416868716478,3,0.36
0.05,5,1,0.001,0.2,0.01,0.0009968876838684082,3,0.396
0.05,5,1,0.001,0.2,0.001,0.0009966149227693677,3,0.39
0.05,5,1,0.001,0.2,0.0001,0.0009968634694814682,3,0.406
0.05,5,1,0.0001,0.0,0.01,0.0009449484059587121,27,1.028
0.05,5,1,0.0001,0.0,0.001,0.0009449154022149742,27,1.013
0.05,5,1,0.0001,0.0,0.0001,0.0009449147619307041,27,1.011
0.05,5,1,0.0001,0.2,0.01,0.0009448194177821279,27,1.138
0.05,5,1,0.0001,0.2,0.001,0.0009448013151995838,27,1.134
0.05,5,1,0.0001,0.2,0.0001,0.0009448009077459574,27,1.118
0.05,5,5,0.01,0.0,0.01,0.000945937936194241,10,0.563
0.05,5,5,0.01,0.0,0.001,0.0009521631291136146,11,0.585
0.05,5,5,0.01,0.0,0.0001,0.0009507202776148915,11,0.593
0.05,5,5,0.01,0.2,0.01,0.0009492886601947248,6,0.498
0.05,5,5,0.01,0.2,0.001,0.0009549790411256254,6,0.49
0.05,5,5,0.01,0.2,0.0001,0.0009794662473723292,6,0.495
0.05,5,5,0.001,0.0,0.01,0.001016299589537084,9,0.528
0.05,5,5,0.001,0.0,0.001,0.0009982336778193712,9,0.532
0.05,5,5,0.001,0.0,0.0001,0.0009742423426359892,9,0.53
0.05,5,5,0.001,0.2,0.01,0.001036309520713985,13,0.716
0.05,5,5,0.001,0.2,0.001,0.0010541805531829596,39,1.539
0.05,5,5,0.001,0.2,0.0001,0.0011098474496975541,21,0.951
0.05,5,5,0.0001,0.0,0.01,0.0011688692029565573,13,0.647
0.05,5,5,0.0001,0.0,0.001,0.0011500580003485084,5,0.422
0.05,5,5,0.0001,0.0,0.0001,0.0011457606451585889,5,0.419
0.05,5,5,0.0001,0.2,0.01,0.0011582650477066636,102,3.452
0.05,5,5,0.0001,0.2,0.001,0.0011345867533236742,176,5.766
0.05,5,5,0.0001,0.2,0.0001,0.0011512688361108303,176,5.772
0.05,5,10,0.01,0.0,0.01,0.0009895219700410962,3,0.377
0.05,5,10,0.01,0.0,0.001,0.0009586412343196571,8,0.511
0.05,5,10,0.01,0.0,0.0001,0.000944819999858737,18,0.801
0.05,5,10,0.01,0.2,0.01,0.000975769420620054,9,0.596
0.05,5,10,0.01,0.2,0.001,0.000971477129496634,4,0.445
0.05,5,10,0.01,0.2,0.0001,0.0009884049650281668,4,0.437
0.05,5,10,0.001,0.0,0.01,0.0010552419116720557,3,0.369
0.05,5,10,0.001,0.0,0.001,0.0010830431710928679,8,0.525
0.05,5,10,0.001,0.0,0.0001,0.00108240800909698,8,0.511
0.05,5,10,0.001,0.2,0.01,0.002284717746078968,1,0.343
0.05,5,10,0.001,0.2,0.001,0.0010433793067932129,40,1.587
0.05,5,10,0.001,0.2,0.0001,0.0010635320795699954,38,1.514
0.05,5,10,0.0001,0.0,0.01,0.0009465424227528274,14,0.689
0.05,5,10,0.0001,0.0,0.001,0.0009454234968870878,12,0.631
0.05,5,10,0.0001,0.0,0.0001,0.0009446259937249124,12,0.629
0.05,5,10,0.0001,0.2,0.01,0.0010537885827943683,8,0.565
0.05,5,10,0.0001,0.2,0.001,0.0010290194768458605,8,0.569
0.05,5,10,0.0001,0.2,0.0001,0.0010607264703139663,8,0.561
0.05,10,1,0.01,0.0,0.01,0.0009690114529803395,6,0.663
0.05,10,1,0.01,0.0,0.001,0.0009811600903049111,4,0.575
0.05,10,1,0.01,0.0,0.0001,0.0009471374214626849,5,0.625
0.05,10,1,0.01,0.2,0.01,0.0009472628589719534,2,0.556
0.05,10,1,0.01,0.2,0.001,0.0009463418391533196,8,0.828
0.05,10,1,0.01,0.2,0.0001,0.0009465598268434405,2,0.557
0.05,10,1,0.001,0.0,0.01,0.0010540903313085437,3,0.549
0.05,10,1,0.001,0.0,0.001,0.0010384033666923642,4,0.579
0.05,10,1,0.001,0.0,0.0001,0.0009600722696632147,4,0.584
0.05,10,1,0.001,0.2,0.01,0.0010464848019182682,14,1.115
0.05,10,1,0.001,0.2,0.001,0.0010392280528321862,4,0.642
0.05,10,1,0.001,0.2,0.0001,0.0010420398321002722,4,0.66
0.05,10,1,0.0001,0.0,0.01,0.0011505885049700737,21,1.285
0.05,10,1,0.0001,0.0,0.001,0.001137503539212048,21,1.296
0.05,10,1,0.0001,0.0,0.0001,0.0011374743189662695,21,1.286
0.05,10,1,0.0001,0.2,0.01,0.0011485300492495298,68,3.597
0.05,10,1,0.0001,0.2,0.001,0.0010776808485388756,32,1.981
0.05,10,1,0.0001,0.2,0.0001,0.0010509463027119637,13,1.071
0.05,10,5,0.01,0.0,0.01,0.0009519472368992865,2,0.51
0.05,10,5,0.01,0.0,0.001,0.000948682485613972,2,0.515
0.05,10,5,0.01,0.0,0.0001,0.0009645009995438159,2,0.51
0.05,10,5,0.01,0.2,0.01,0.0009824911830946803,9,0.907
0.05,10,5,0.01,0.2,0.001,0.0009644653182476759,9,0.911
0.05,10,5,0.01,0.2,0.0001,0.000971728004515171,9,0.903
0.05,10,5,0.001,0.0,0.01,0.0010010082041844726,8,0.772
0.05,10,5,0.001,0.0,0.001,0.0009808600880205631,8,0.766
0.05,10,5,0.001,0.0,0.0001,0.0009921625023707747,8,0.767
0.05,10,5,0.001,0.2,0.01,0.0010341801680624485,12,1.072
0.05,10,5,0.001,0.2,0.001,0.0010524378158152103,12,1.048
0.05,10,5,0.001,0.2,0.0001,0.0010344749316573143,12,1.054
0.05,10,5,0.0001,0.0,0.01,0.0011498130625113845,32,1.787
0.05,10,5,0.0001,0.0,0.001,0.001146020833402872,21,1.317
0.05,10,5,0.0001,0.0,0.0001,0.0011511783814057708,32,1.802
0.05,10,5,0.0001,0.2,0.01,0.001143531990237534,37,2.25
0.05,10,5,0.0001,0.2,0.001,0.0011514121433719993,36,2.197
0.05,10,5,0.0001,0.2,0.0001,0.0011182149173691869,36,2.235
0.05,10,10,0.01,0.0,0.01,0.0009689165744930506,1,0.488
0.05,10,10,0.01,0.0,0.001,0.0009527044021524489,1,0.481
0.05,10,10,0.01,0.0,0.0001,0.0009474410326220095,1,0.49
0.05,10,10,0.01,0.2,0.01,0.0009581097983755171,11,1.036
0.05,10,10,0.01,0.2,0.001,0.0009591325651854277,13,1.138
0.05,10,10,0.01,0.2,0.0001,0.000956488773226738,5,0.743
0.05,10,10,0.001,0.0,0.01,0.001010868581943214,13,1.017
0.05,10,10,0.001,0.0,0.001,0.0009815437952056527,9,0.829
0.05,10,10,0.001,0.0,0.0001,0.0009485497721470892,14,1.048
0.05,10,10,0.001,0.2,0.01,0.0010515974136069417,20,1.474
