tau,n_layers,n_units,lr,dropout,weight_decay,val_loss,train_epochs,time_sec
0.01,10,10,0.01,0.2,0.001,0.0002618911094032228,12,1.126
0.01,10,10,0.01,0.2,0.0001,0.0002767863916233182,12,1.092
0.01,10,10,0.001,0.0,0.01,0.00031687470618635416,10,0.878
0.01,10,10,0.001,0.0,0.001,0.0003817803517449647,10,0.886
0.01,10,10,0.001,0.0,0.0001,0.0003960169851779938,10,0.876
0.01,10,10,0.001,0.2,0.01,0.00038505010888911784,24,1.692
0.01,10,10,0.001,0.2,0.001,0.0003584673977456987,37,2.344
0.01,10,10,0.001,0.2,0.0001,0.00032583725987933576,37,2.341
0.01,10,10,0.0001,0.0,0.01,0.00026153246290050447,5,0.656
0.01,10,10,0.0001,0.0,0.001,0.00026327389059588313,5,0.699
0.01,10,10,0.0001,0.0,0.0001,0.00026458635693416,5,0.698
0.01,10,10,0.0001,0.2,0.01,0.0002739857300184667,4,0.701
0.01,10,10,0.0001,0.2,0.001,0.00029567087767645717,4,0.706
0.01,10,10,0.0001,0.2,0.0001,0.0002988469204865396,4,0.744
0.05,1,1,0.01,0.0,0.01,0.0009488098439760506,7,0.286
0.05,1,1,0.01,0.0,0.001,0.0009454488754272461,7,0.285
0.05,1,1,0.01,0.0,0.0001,0.0009465151815675199,7,0.283
0.05,1,1,0.01,0.2,0.01,0.0009496595012024045,6,0.273
0.05,1,1,0.01,0.2,0.001,0.0009447046322748065,6,0.271
0.05,1,1,0.01,0.2,0.0001,0.0009452475933358073,7,0.289
0.05,1,1,0.001,0.0,0.01,0.0010566553100943565,12,0.363
0.05,1,1,0.001,0.0,0.001,0.0010700877755880356,12,0.361
0.05,1,1,0.001,0.0,0.0001,0.0010459375334903598,12,0.361
0.05,1,1,0.001,0.2,0.01,0.0010071216383948922,12,0.373
0.05,1,1,0.001,0.2,0.001,0.0010135613847523928,12,0.386
0.05,1,1,0.001,0.2,0.0001,0.0010154838673770428,12,0.379
0.05,1,1,0.0001,0.0,0.01,0.0011594058014452457,27,0.602
0.05,1,1,0.0001,0.0,0.001,0.001159215229563415,27,0.612
0.05,1,1,0.0001,0.0,0.0001,0.0011469072196632624,40,0.826
0.05,1,1,0.0001,0.2,0.01,0.0011557468678802252,35,0.773
0.05,1,1,0.0001,0.2,0.001,0.0011554986704140902,36,0.8
0.05,1,1,0.0001,0.2,0.0001,0.0011560105485841632,35,0.778
0.05,1,5,0.01,0.0,0.01,0.0009447888005524874,3,0.218
0.05,1,5,0.01,0.0,0.001,0.0009945416823029518,8,0.308
0.05,1,5,0.01,0.0,0.0001,0.0009334237547591329,5,0.249
0.05,1,5,0.01,0.2,0.01,0.0009458528365939856,2,0.206
0.05,1,5,0.01,0.2,0.001,0.000983950449153781,6,0.275
0.05,1,5,0.01,0.2,0.0001,0.000968008884228766,10,0.345
0.05,1,5,0.001,0.0,0.01,0.00105181650724262,21,0.518
0.05,1,5,0.001,0.0,0.001,0.0010280952556058764,2,0.199
