tau,n_layers,n_units,lr,dropout,weight_decay,val_loss,train_epochs,time_sec
0.05,5,5,0.0001,0.2,0.001,0.001147917122580111,151,5.005
0.05,5,5,0.0001,0.2,0.0001,0.0011567280162125826,140,4.652
0.05,5,10,0.01,0.0,0.01,0.0009387062746100128,16,0.752
0.05,5,10,0.01,0.0,0.001,0.0010228161700069904,4,0.4
0.05,5,10,0.01,0.0,0.0001,0.0009241267689503729,2,0.347
0.05,5,10,0.01,0.2,0.01,0.0009624448139220476,11,0.711
0.05,5,10,0.01,0.2,0.001,0.0009151213453151286,15,0.793
0.05,5,10,0.01,0.2,0.0001,0.000939843594096601,13,0.757
0.05,5,10,0.001,0.0,0.01,0.0010064223315566778,5,0.433
0.05,5,10,0.001,0.0,0.001,0.0010071650613099337,4,0.441
0.05,5,10,0.001,0.0,0.0001,0.0010270561324432492,5,0.436
0.05,5,10,0.001,0.2,0.01,0.0009833123767748475,10,0.631
0.05,5,10,0.001,0.2,0.001,0.0009953362168744206,10,0.633
0.05,5,10,0.001,0.2,0.0001,0.0009849491761997342,10,0.638
0.05,5,10,0.0001,0.0,0.01,0.0009151437552645802,1,0.317
0.05,5,10,0.0001,0.0,0.001,0.0009172492427751422,1,0.316
0.05,5,10,0.0001,0.0,0.0001,0.0009175098384730518,1,0.323
0.05,5,10,0.0001,0.2,0.01,0.0013766021002084017,1,0.344
0.05,5,10,0.0001,0.2,0.001,0.001400706241838634,1,0.352
0.05,5,10,0.0001,0.2,0.0001,0.0013997944770380855,1,0.349
0.05,10,1,0.01,0.0,0.01,0.0009173994185402989,7,0.703
0.05,10,1,0.01,0.0,0.001,0.0009234415483660996,15,1.041
0.05,10,1,0.01,0.0,0.0001,0.0009151490521617234,13,0.957
0.05,10,1,0.01,0.2,0.01,0.0009252396994270384,17,1.272
0.05,10,1,0.01,0.2,0.001,0.0009244326502084732,17,1.27
0.05,10,1,0.01,0.2,0.0001,0.0009556972654536366,3,0.621
0.05,10,1,0.001,0.0,0.01,0.0009999907342717052,9,0.803
0.05,10,1,0.001,0.0,0.001,0.0010131597518920898,9,0.802
0.05,10,1,0.001,0.0,0.0001,0.0010036900639533997,9,0.795
0.05,10,1,0.001,0.2,0.01,0.00105619290843606,25,1.631
0.05,10,1,0.001,0.2,0.001,0.0010473649017512798,25,1.63
0.05,10,1,0.001,0.2,0.0001,0.0010525552788749337,12,1.027
0.05,10,1,0.0001,0.0,0.01,0.0011052789632230997,70,3.365
0.05,10,1,0.0001,0.0,0.001,0.001119047636166215,72,3.45
0.05,10,1,0.0001,0.0,0.0001,0.0011245093774050474,72,3.473
0.05,10,1,0.0001,0.2,0.01,0.001120688277296722,93,4.822
0.05,10,1,0.0001,0.2,0.001,0.0011145874159410596,116,5.881
0.05,10,1,0.0001,0.2,0.0001,0.0011194294784218073,112,5.721
0.05,10,5,0.01,0.0,0.01,0.0009177897591143847,1,0.479
0.05,10,5,0.01,0.0,0.001,0.0009156534797511995,8,0.777
0.05,10,5,0.01,0.0,0.0001,0.0009154120925813913,5,0.648
0.05,10,5,0.01,0.2,0.01,0.0010025446536019444,7,0.816
0.05,10,5,0.01,0.2,0.001,0.0009521218598820269,7,0.823
0.05,10,5,0.01,0.2,0.0001,0.0009410490747541189,7,0.82
0.05,10,5,0.001,0.0,0.01,0.0010374047560617328,5,0.642
0.05,10,5,0.001,0.0,0.001,0.001079387729987502,5,0.649
0.05,10,5,0.001,0.0,0.0001,0.0010769481305032969,5,0.649
0.05,10,5,0.001,0.2,0.01,0.0010873684659600258,31,1.99
0.05,10,5,0.001,0.2,0.001,0.0010613023769110441,26,1.78
0.05,10,5,0.001,0.2,0.0001,0.0010398405138403177,31,2.055
0.05,10,5,0.0001,0.0,0.01,0.0009158328757621348,47,2.469
0.05,10,5,0.0001,0.0,0.001,0.0009157241438515484,47,2.456
0.05,10,5,0.0001,0.0,0.0001,0.000915714364964515,47,2.458
0.05,10,5,0.0001,0.2,0.01,0.0009165149531327188,42,2.529
0.05,10,5,0.0001,0.2,0.001,0.0009276517666876316,37,2.277
0.05,10,5,0.0001,0.2,0.0001,0.000916208722628653,41,2.473
0.05,10,10,0.01,0.0,0.01,0.0009151520789600909,6,0.711
0.05,10,10,0.01,0.0,0.001,0.0009333739872090518,16,1.166
0.05,10,10,0.01,0.0,0.0001,0.0009150701225735247,11,0.945
0.05,10,10,0.01,0.2,0.01,0.0009350881446152925,1,0.552
0.05,10,10,0.01,0.2,0.001,0.000925425614695996,14,1.199
0.05,10,10,0.01,0.2,0.0001,0.0009150706464424729,14,1.202
0.05,10,10,0.001,0.0,0.01,0.0009988478850573301,2,0.531
0.05,10,10,0.001,0.0,0.001,0.0010289894416928291,11,0.93
0.05,10,10,0.001,0.0,0.0001,0.0010280970018357038,11,0.926
0.05,10,10,0.001,0.2,0.01,0.0010833496926352382,5,0.752
0.05,10,10,0.001,0.2,0.001,0.0010851420229300857,10,1.006
0.05,10,10,0.001,0.2,0.0001,0.0010277919936925173,28,1.907
0.05,10,10,0.0001,0.0,0.01,0.001153702032752335,22,1.412
0.05,10,10,0.0001,0.0,0.001,0.0011260895989835262,21,1.374
0.05,10,10,0.0001,0.0,0.0001,0.0011081876000389457,33,1.931
0.05,10,10,0.0001,0.2,0.01,0.001125256298109889,75,4.25
0.05,10,10,0.0001,0.2,0.001,0.0012088835937902331,68,3.869
0.05,10,10,0.0001,0.2,0.0001,0.001219634898006916,68,3.893
0.1,1,1,0.01,0.0,0.01,0.0015181247144937515,1,0.187
0.1,1,1,0.01,0.0,0.001,0.00018358704983256757,3,0.211
0.1,1,1,0.01,0.0,0.0001,1.031530337058939e-05,3,0.211
0.1,1,1,0.01,0.2,0.01,0.0015171131817623973,12,0.378
0.1,1,1,0.01,0.2,0.001,0.0008765077800489962,14,0.415
0.1,1,1,0.01,0.2,0.0001,0.0006785739678889513,6,0.274
0.1,1,1,0.001,0.0,0.01,0.0013326444895938039,27,0.609
0.1,1,1,0.001,0.0,0.001,1.2108333066862542e-05,25,0.569
0.1,1,1,0.001,0.0,0.0001,5.792016054328997e-06,21,0.506
0.1,1,1,0.001,0.2,0.01,0.001455442514270544,12,0.376
0.1,1,1,0.001,0.2,0.001,0.0006807366735301912,77,1.47
0.1,1,1,0.001,0.2,0.0001,0.0006331015611067414,44,0.911
0.1,1,1,0.0001,0.0,0.01,0.0016021023038774729,32,0.692
0.1,1,1,0.0001,0.0,0.001,0.0017516755033284426,32,0.691
0.1,1,1,0.0001,0.0,0.0001,0.0018193277064710855,32,0.697
0.1,1,1,0.0001,0.2,0.01,0.0014483712147921324,82,1.603
0.1,1,1,0.0001,0.2,0.001,0.0014448856236413121,83,1.596
0.1,1,1,0.0001,0.2,0.0001,0.0014894974883645773,82,1.603
0.1,1,5,0.01,0.0,0.01,0.001490136724896729,20,0.494
0.1,1,5,0.01,0.0,0.001,0.00030759736546315253,10,0.332
0.1,1,5,0.01,0.0,0.0001,7.265270687639713e-05,12,0.365
0.1,1,5,0.01,0.2,0.01,0.0014963235007598996,11,0.368
0.1,1,5,0.01,0.2,0.001,0.0006117415614426136,11,0.357
0.1,1,5,0.01,0.2,0.0001,0.00039692691643722355,9,0.319
0.1,1,5,0.001,0.0,0.01,0.0016187215223908424,4,0.229
0.1,1,5,0.001,0.0,0.001,2.1315327103366144e-05,25,0.589
0.1,1,5,0.001,0.0,0.0001,1.0043791007774416e-06,14,0.4
0.1,1,5,0.001,0.2,0.01,0.0016879831673577428,6,0.276
0.1,1,5,0.001,0.2,0.001,0.0005101968999952078,26,0.626
0.1,1,5,0.001,0.2,0.0001,0.0003093919949606061,29,0.66
0.1,1,5,0.0001,0.0,0.01,0.001490131951868534,34,0.734
0.1,1,5,0.0001,0.0,0.001,0.0014898070367053151,34,0.714
0.1,1,5,0.0001,0.0,0.0001,0.0014897910878062248,34,0.728
0.1,1,5,0.0001,0.2,0.01,0.001490307622589171,34,0.757
0.1,1,5,0.0001,0.2,0.001,0.0014900638489052653,34,0.752
0.1,1,5,0.0001,0.2,0.0001,0.001490083523094654,34,0.756
0.1,1,10,0.01,0.0,0.01,0.0014879564987495542,17,0.45
0.1,1,10,0.01,0.0,0.001,0.0001474174641771242,34,0.726
0.1,1,10,0.01,0.0,0.0001,0.0001313286047661677,6,0.262
0.1,1,10,0.01,0.2,0.01,0.001507068402133882,5,0.26
0.1,1,10,0.01,0.2,0.001,0.000761757546570152,35,0.772
0.1,1,10,0.01,0.2,0.0001,0.00020522507838904858,18,0.477
0.1,1,10,0.001,0.0,0.01,0.0014967883471399546,13,0.387
0.1,1,10,0.001,0.0,0.001,5.765473179053515e-05,28,0.624
0.1,1,10,0.001,0.0,0.0001,2.1478683265740983e-05,21,0.509
0.1,1,10,0.001,0.2,0.01,0.0015416110400110483,27,0.64
0.1,1,10,0.001,0.2,0.001,0.0032522480469197035,1,0.19
0.1,1,10,0.001,0.2,0.0001,0.0032844124361872673,1,0.187
0.1,1,10,0.0001,0.0,0.01,0.0014571361243724823,8,0.31
0.1,1,10,0.0001,0.0,0.001,0.0014484560815617442,8,0.298
0.1,1,10,0.0001,0.0,0.0001,0.001445731264539063,8,0.305
0.1,1,10,0.0001,0.2,0.01,0.001615574350580573,9,0.328
0.1,1,10,0.0001,0.2,0.001,0.0015438522677868605,9,0.325
0.1,1,10,0.0001,0.2,0.0001,0.001526438631117344,9,0.324
